frame_time;clinton_anger;clinton_contempt;clinton_disgust;clinton_fear;clinton_happiness;clinton_neutral;clinton_sadness;clinton_surprise;clinton_visible;;frame_time;trump_anger;trump_contempt;trump_disgust;trump_fear;trump_happiness;trump_neutral;trump_sadness;trump_surprise;trump_visible;url
510;0.00103566912;0.03683436;0.000631824543;3.18182974e-05;0.161598772;0.7766667;0.0227627419;0.0004381198;True;;510;0.0930300057;0.0252389312;0.1589925;0.00194930087;0.00136550621;0.5679391;0.0129410652;0.1385436;True;https://s3-us-west-2.amazonaws.com/debateinemotion/debate1/frame510.jpg
515;5.515568e-05;0.00310352235;4.07688131e-05;2.09222685e-06;0.321727335;0.6729961;0.00189948955;0.0001755256;True;;515;0.0170669779;0.0126546724;0.00193549821;3.4821544e-06;0.0002700196;0.9651464;0.00270650862;0.000216435728;True;https://s3-us-west-2.amazonaws.com/debateinemotion/debate1/frame515.jpg
520;1.43961988e-05;0.00202492042;7.60100829e-06;1.64058747e-07;0.461657;0.5360859;0.000151473;5.85892667e-05;True;;520;0.2761801;0.012549947;0.0611770637;0.0006254785;0.004439647;0.570822239;0.006329218;0.06787634;True;https://s3-us-west-2.amazonaws.com/debateinemotion/debate1/frame520.jpg
525;1.56408933e-05;0.00109927135;2.44265484e-05;8.331311e-07;0.8762112;0.122134216;0.000484642776;2.97298138e-05;True;;525;0.195997849;0.006911861;0.05355218;0.000639084436;0.005720753;0.614643753;0.008524222;0.114010312;True;https://s3-us-west-2.amazonaws.com/debateinemotion/debate1/frame525.jpg
530;7.78229951e-05;0.002707394;4.76232635e-05;2.604968e-06;0.09265161;0.900824964;0.003273093;0.000414854323;True;;530;0.172678068;0.01972243;0.04887231;0.0006074385;0.005840568;0.724086046;0.00557372;0.0226194039;True;https://s3-us-west-2.amazonaws.com/debateinemotion/debate1/frame530.jpg
535;0.000290990138;0.00326640438;0.000127537525;6.021215e-06;0.04114046;0.9490385;0.00558021059;0.000549869;True;;535;0.251527816;0.0122070387;0.08085769;0.000829864061;0.004232942;0.6096129;0.008812085;0.031919688;True;https://s3-us-west-2.amazonaws.com/debateinemotion/debate1/frame535.jpg
540;0.000421364675;0.005659161;0.000200348441;9.288071e-06;0.10055057;0.887192;0.005524973;0.000442306278;True;;540;0.11617706;0.00804219;0.0497991033;0.00152112858;0.0005659809;0.651555657;0.008200659;0.164138213;True;https://s3-us-west-2.amazonaws.com/debateinemotion/debate1/frame540.jpg
545;0.000192422813;0.00489817653;0.000107711952;5.50989125e-06;0.09684494;0.893446565;0.00403330149;0.000471375475;True;;545;0.02356616;0.0138291735;0.009826311;0.000190203908;0.00144207082;0.9341318;0.00726459827;0.009749657;True;https://s3-us-west-2.amazonaws.com/debateinemotion/debate1/frame545.jpg
550;0.000224008239;0.004825185;9.322908e-05;2.2885366e-05;0.07815809;0.897187;0.0191980116;0.000291614;True;;550;0.217622966;0.01351581;0.0119249765;0.00232114;0.000234821957;0.711296439;0.0222043581;0.0208794847;True;https://s3-us-west-2.amazonaws.com/debateinemotion/debate1/frame550.jpg
555;0.000236074542;0.00380290952;0.000101879887;2.6259162e-05;0.0409946851;0.928158045;0.02620704;0.000473133725;True;;555;0.0334541276;0.00548252743;0.05337101;0.008266591;0.000359522557;0.6790561;0.111562692;0.108447418;True;https://s3-us-west-2.amazonaws.com/debateinemotion/debate1/frame555.jpg
